tsne_x,tsne_y,tsne_z
6.5350466,-1.6167936,8.354893
4.461168,8.460436,-1.6912133
6.1547236,5.354256,-5.5431867
4.8584847,-3.5709655,8.37111
-7.298953,-3.6423829,5.5530624
4.42475,2.009452,-8.96779
6.9516172,6.2572994,-3.0781212
-6.051653,4.2812405,-9.128603
4.3097224,1.7170182,10.996583
4.040752,2.286238,10.974699
7.505542,-6.94388,-3.8698192
-5.915273,3.962108,-9.295415
1.520211,-0.07676272,10.754671
0.77035785,-0.18115003,10.467881
4.9136043,8.008948,4.046523
5.237255,8.080182,3.6747267
6.004533,7.4820623,4.252388
6.9232783,6.779027,4.423415
4.4323974,8.718754,1.387354
10.383712,-0.7606757,-0.46449232
10.542205,-3.1448843,0.22156194
2.5458508,3.360884,10.907151
-5.683416,3.927691,-9.3281355
-3.672327,-9.551809,-2.7107174
-7.348878,5.621339,3.8240583
-3.8667684,-10.046449,-2.0981615
7.98857,3.8473623,-4.405892
2.4681644,6.4115124,-6.8831415
5.8237305,5.558137,-5.6970296
9.945667,-6.29871,1.8656524
-6.3719363,6.930037,-6.730778
9.545966,3.7924364,2.4222765
0.29678047,-0.022910343,10.315569
-8.428492,2.1847696,-8.568388
5.8013616,-4.999876,7.0977345
6.490113,2.6227853,-7.5139985
-7.336333,7.6565557,2.393309
6.542858,-8.252712,3.5718904
9.9210615,-5.78958,2.658005
-8.187378,5.6605673,-6.6539116
10.536223,-2.7152624,0.26938018
0.72450405,-5.3719916,-6.7584486
-0.19045368,-9.988171,0.08742214
4.359208,8.769266,0.60204065
-10.466784,-5.8088374,-0.92246634
-10.946329,-3.4766283,-0.27334845
-8.342532,-7.438223,-3.0810456
-7.2280707,-7.9860625,3.7145145
10.516773,-2.518259,0.9088374
7.0432444,6.8126664,4.256526
-2.11095,-9.517769,-1.8830705
9.831588,1.6404291,-2.7198584
0.227917,-4.034764,-7.5058293
-12.655492,1.2601314,1.7783539
-12.275102,0.22853881,2.6744828
-0.67423064,-4.514751,-7.0531178
3.285705,8.453625,-2.6162205
0.24460903,5.465759,8.4763
-9.138907,-3.3964307,4.039881
-10.510538,0.31025788,4.3457766
8.6785755,-5.728848,-3.362604
3.4679604,8.3176775,-2.8174195
9.199208,2.6354833,3.8868659
10.032595,-5.8335013,2.388087
5.6547165,-0.89876246,-8.883478
-0.884411,-3.28994,-7.706966
3.3044024,8.497294,-2.472756
3.9700935,8.583597,-1.7541741
7.0244684,-9.034588,1.1892563
7.952325,-8.492243,0.7881253
-3.5246902,8.752532,-6.190245
-1.7942677,9.271951,-5.340615
-1.6047158,9.3469305,-4.9927373
3.399002,8.948586,-0.58169615
-0.8741946,9.394953,-0.4614908
-2.1808517,9.218342,-5.557364
3.3034382,8.782227,-1.5199751
-6.9842844,6.6083083,-6.610223
5.370696,8.177758,-1.2904167
3.928466,8.824468,-0.7543859
-1.1821711,9.431953,-0.56896865
-0.57970065,9.409852,-0.6167958
-2.6544342,9.328729,-5.2862854
-1.4892832,9.59884,-3.1907716
-10.468561,-2.965227,2.5508077
-8.26774,-9.837236,1.4156419
2.0339074,3.1449392,10.973367
-0.84808064,9.373156,-0.376076
-8.043693,2.4225054,-8.860532
5.9122214,-5.239467,6.8992057
-2.9053168,9.804874,-3.344223
-3.0934024,9.753506,-3.9649107
-3.4890153,9.71609,-3.8930087
10.298336,-1.2945416,-1.0672698
10.258046,-4.951272,-0.20331077
4.6059394,8.654226,-0.68046415
3.3060446,8.532982,-2.3654573
-6.0813293,-8.126396,-3.763815
-4.8309765,6.671132,3.933204
-10.931648,-0.9298948,3.5198157
-8.416133,1.5854774,5.2771063
-0.3484702,8.786773,-5.2233534
-0.2837478,8.510204,-5.82783
8.338196,2.8337948,5.490781
7.94532,-2.7316124,6.2598343
6.2972,-5.067114,6.771695
5.6029625,-8.199674,-3.7278275
8.798866,-6.4427896,-2.4565842
2.8192277,6.4370885,-6.7523665
2.8660028,3.7011905,-8.640375
5.024472,6.294943,-5.504238
-5.077567,9.611745,-2.7337296
5.946565,-4.698154,7.1662793
6.8312907,-8.888422,2.132748
-6.7972593,8.46383,-3.7066174
-8.651245,6.0124483,-4.923497
9.032845,-1.036757,-4.7968497
5.0049825,-6.5200086,-6.357719
5.283334,5.3918047,-6.4915347
6.6028714,7.1339116,4.28732
10.163556,1.5439601,-2.0386522
8.819235,-1.4365684,-5.265364
10.572624,-3.0890539,0.7960976
1.9855056,-6.581528,-5.9986115
6.359322,7.6076794,3.712926
