umap_x,umap_y,umap_z
-0.14426069,3.514222,3.1225042
5.3388114,7.5088854,0.36586818
1.1146207,0.5707301,5.156119
6.560318,6.8106084,0.7120705
10.8275175,9.18681,5.6543794
2.0302565,9.960226,7.111331
7.2974153,3.6654406,0.26428872
-0.5931106,3.296552,3.9066474
0.9285858,1.1769874,8.290803
-1.0248652,5.0389905,8.668323
1.1947501,1.4678613,8.662046
11.114337,8.149659,4.8340316
1.5885788,3.7327669,10.018382
1.3670824,8.8636055,7.9521184
10.110266,-0.90522444,5.1058583
-0.31942767,7.382377,7.464011
0.56974155,8.23484,7.8976245
6.636536,7.0711904,0.8485045
10.67496,-0.37953028,5.1517
-0.85305744,6.8358326,4.276848
-0.78070986,7.051942,4.269633
1.9444195,3.6935027,1.4800912
1.7109234,3.6068351,1.636744
2.0233667,3.725622,1.4418662
1.7099905,3.598168,1.6432241
1.2103221,3.497208,2.0070825
0.376625,2.8019357,3.0493453
0.09312842,3.3223202,2.9735007
-0.6305038,4.526058,3.586543
11.775115,1.1659459,5.220772
10.6299305,9.025238,5.117817
1.7532233,10.391883,6.365977
11.61626,7.606965,5.579299
-0.7784279,5.429721,3.7040083
0.7539724,7.7837305,8.531225
-0.26090005,1.8596462,4.4985
-0.70357984,6.051604,8.354477
9.892485,-0.87459546,4.831483
1.0437164,7.3932714,9.067053
-0.99558574,6.3903418,4.500805
2.1845562,10.045931,7.115412
-0.69980615,4.6996813,3.6369283
-0.1701359,5.12115,9.553793
1.9181521,10.546335,6.3083224
1.7387332,3.6211112,1.6124486
1.0088085,1.3936791,8.615058
11.178619,0.16662212,5.2165227
1.8016721,0.1561691,6.3234434
-1.4833649,4.3205295,7.5810328
7.8094897,7.230245,1.6264018
-0.5778782,2.537197,4.3464413
12.588905,3.521879,5.6412597
12.317798,3.7884037,4.989353
9.989109,9.183332,4.901828
10.728243,9.192855,5.4998956
5.731357,7.7384562,0.625298
10.5513735,9.138304,5.197758
10.5142145,9.04833,5.045609
-0.47962627,8.1221075,4.8656087
9.880597,9.495432,8.276432
12.738181,4.525804,6.380024
11.742061,1.1503434,5.166545
-0.96839625,6.2577,4.318379
1.354951,1.148152,8.055385
1.296338,0.46152264,4.8372517
11.915081,3.972173,4.675976
12.054202,2.4879346,5.0436087
-0.23859799,8.463246,6.9060016
0.8110121,1.2198992,8.390475
-0.6596141,7.417216,4.334317
0.91679907,0.7478529,5.1578727
