pca_x,pca_y,pca_z
0.8974789,0.040745128,-0.47887385
0.7971652,-0.51115507,-0.3627583
0.9370422,-0.17885935,0.36580902
0.35013935,-0.3410863,-0.87518805
0.999351,0.1934445,-0.09782877
-0.14785078,0.31445828,0.9395814
0.8327139,0.09412464,-0.57517177
-0.34092003,0.90188533,-0.24412118
0.17137188,0.915495,0.3882191
-0.9368201,-0.031685613,-0.27472225
-0.9712177,0.09903102,0.058989454
0.8293113,-0.24434716,-0.5320357
-0.94511193,0.16590177,-0.18804881
0.91084164,0.33106044,0.32756716
0.9587439,0.07133171,0.34998688
-0.5278262,0.7917491,-0.27218527
0.32226166,-0.5535965,-0.7697225
-0.06692405,-0.9885535,-0.07649491
0.72953695,0.37344047,-0.59900683
0.90659785,-0.42587757,-0.17985375
0.6869183,-0.13867703,0.7382259
0.9957765,0.119956605,-0.19521601
-0.92856467,-0.010618257,-0.3034159
0.7435719,-0.4809915,0.49947208
-0.5672988,0.7493719,-0.3061377
0.23653007,-0.45393658,0.86722577
0.93388814,0.24048585,0.34202677
0.22474271,-0.9736804,-0.05130362
-0.8224429,-0.06395422,0.53446525
0.1973534,-0.8151722,-0.54175204
0.38760275,-0.048021965,0.93400186
0.8813091,-0.50586736,0.057475757
0.9822556,0.059179727,0.28071842
-0.014705972,0.018580997,1.0035831
-0.830737,-0.50927335,-0.084751755
0.65416485,0.012957735,-0.7710214
0.50267094,-0.5060858,-0.70931816
0.6840746,-0.5403855,-0.51154006
0.078445636,-0.018797144,1.0025759
0.48562303,0.25225824,0.8553884
0.91434693,-0.14984657,0.43028176
0.61635923,0.08535044,0.80504906
-0.08029396,0.42164403,0.90719515
-0.12832601,0.17977218,0.9771791
0.8738732,0.19068907,0.49512276
-0.13084961,-0.36459002,0.9211505
0.46106344,0.902869,-0.008290463
-0.43322188,-0.04359199,0.8930938
-0.83357877,-0.44014817,-0.25883403
-0.2114055,-0.8403783,-0.477247
-0.48027122,0.72793496,0.47667214
0.9293636,0.27837008,0.3251379
0.6805217,0.5041639,-0.55892617
0.79499525,0.109797694,-0.62210995
0.5624371,0.4931625,-0.680886
-0.9016838,-0.32228163,-0.19269471
0.05631316,0.33425072,-0.9389511
-0.02934902,-0.64876246,-0.7512687
-0.17261085,0.97726333,0.12617154
0.73258287,-0.5174208,-0.4690601
0.53421813,-0.7062744,-0.47908947
-0.4708864,-0.23019828,0.84188354
-0.3360582,0.9331935,-0.085477434
0.72118914,-0.5500596,0.45725825
0.6429724,-0.6160825,0.48469323
0.398519,-0.02177589,0.9307498
0.4946628,0.036483068,0.88545233
0.29889458,0.07254655,0.9630737
0.45344454,0.103648566,0.90139365
0.5995715,0.11010519,0.8143711
0.7328199,0.39763942,0.58832246
0.8128241,0.27832264,0.5526888
0.8783047,0.09719887,0.51370203
-0.63562846,0.74733895,-0.114546835
-0.8665762,-0.41670185,-0.17440294
-0.10335335,-0.9808174,-0.11384474
-0.914326,-0.1894945,-0.2860604
0.74191386,-0.1293789,0.6863059
0.55497646,-0.53035396,-0.65218246
0.8384729,0.5824542,0.01727939
0.85992444,-0.17132987,-0.51367164
-0.16813804,0.92824847,0.335377
0.3994136,-0.3896573,-0.8341052
0.8149534,-0.45257232,0.40920207
-0.34873465,-0.74404305,-0.54536164
0.87248546,0.038285267,0.5305247
0.7088994,0.18542825,-0.70013577
-0.15402798,-0.97748476,-0.06760214
0.4775392,0.052032784,0.8937102
0.62542105,0.41169727,-0.6816841
-0.45313638,0.8779433,-0.09539356
0.2047106,0.86662734,-0.46782777
0.8653689,0.4251476,-0.33142012
-0.8904232,-0.24872509,0.3239901
0.9660985,0.3110388,0.13063146
-0.87392694,0.37749052,-0.23337716
-0.9270292,0.31191042,-0.051732797
-0.824338,-0.5206801,-0.07919242
-0.835215,-0.45067114,-0.23439986
-0.29846075,-0.48703608,0.8140632
-0.8395016,-0.45759267,-0.20370388
-0.8532956,-0.4478762,-0.16354603
0.5224687,-0.81328607,0.2909897
-0.25796464,-0.23705418,-0.92459863
-0.8044017,0.20289405,-0.52123123
-0.64332485,0.74468076,-0.08447138
0.80400085,-0.39622864,0.48334244
0.57045555,0.65140015,-0.5257774
0.25661057,0.9745752,0.063951775
-0.9030748,0.33994108,0.17770857
-0.7687172,0.6153095,0.0027919887
0.6364345,-0.7520731,-0.22272055
0.7124549,0.4608051,-0.5575526
0.55092466,-0.69557667,0.4855027
0.5387185,0.8600353,0.039281607
-0.37283334,-0.04482815,0.92150587
-0.380765,-0.14700454,-0.8980061
0.46506533,0.6773055,-0.5882355
0.5731144,0.68657935,-0.47662875
0.6956179,-0.6266984,-0.38205102
0.7450031,-0.33882886,-0.59624445
-0.25385603,0.37161452,0.8923262
-0.21057284,0.43177873,0.87769675
-0.23809826,0.389158,0.8896574
0.6386456,0.51713717,-0.5935375
-0.4237923,-0.24770871,0.862971
-0.32404992,0.3929312,0.8579395
0.6624712,0.60190576,-0.47876903
-0.39481497,-0.8492575,0.31641448
-0.095279425,0.4604974,-0.8775338
0.71907395,0.5447747,-0.46769094
0.36200297,-0.6830534,0.64681184
0.3001137,-0.8515654,0.4412799
-0.15671271,0.07422871,0.9856503
0.51563996,-0.8648085,-0.04069059
-0.9424842,-0.24555671,-0.07269585
-0.97113013,0.016462725,-0.105198525
0.4618583,-0.4740734,-0.75621957
0.5112783,-0.7431555,0.45486796
-0.6121719,0.7425379,-0.22275867
1.0086521,0.122583866,0.12273152
-0.10978634,0.52992904,0.8446046
-0.21305397,0.6212577,0.7550803
-0.34268573,0.39878032,0.8474145
0.9629119,-0.12975332,0.31777516
0.796664,0.24740928,0.589114
0.6610107,0.4818178,-0.59931535
0.63967717,0.57524097,-0.5371391
-0.84220463,-0.23956072,-0.4342841
-0.22028473,-0.9637621,0.06855463
-0.7237174,0.656108,-0.12856063
-0.7815655,0.3789473,0.46542495
0.14900316,0.524911,0.8486936
0.09087784,0.36324733,0.93519276
0.84200025,-0.15171348,0.5562746
0.5360664,0.83777636,-0.19945943
0.29480484,0.8649731,-0.4256564
0.7511949,0.38805538,-0.56305695
0.8339965,0.21320151,-0.54168636
0.3085205,0.7078452,-0.64609146
0.59011775,-0.07606338,-0.8151748
-0.37248382,-0.1696265,-0.897599
-0.3691261,0.9239434,-0.014417514
0.44340536,0.006027776,-0.90283793
-0.02412132,-0.2267652,0.97623914
-0.108350754,0.9939202,0.060204685
-0.16070086,0.97885823,0.13180964
0.94254273,0.2511136,0.30937532
0.6366507,-0.7357872,0.2794892
0.2606382,0.94987977,-0.21689948
0.79581225,0.38355073,0.5127631
0.935512,-0.3108253,0.26459792
-0.16010816,0.27872413,-0.9396181
0.2498933,-0.96973616,0.007164213
0.53665596,-0.6683122,-0.52829015
0.52999717,0.8192739,0.28413123
-0.4830289,0.80243564,-0.32251868
-0.12288545,0.07622779,0.9910947
0.9450921,-0.28346962,0.26248255
