umap_x,umap_y,umap_z
-1.5739812,8.34704,5.1138215
11.471586,0.63278127,7.550496
-1.5947254,7.9141364,2.0064712
2.4447546,5.286651,9.134741
13.43752,4.1554046,5.238803
-1.3999168,5.5612016,0.31455255
11.373553,0.6347148,4.6099796
11.367305,0.62455255,4.632738
0.8282224,2.5605552,7.0729437
0.8574096,1.4174751,6.032412
10.464751,10.173328,5.2923155
11.347299,8.238809,4.375597
2.7908697,4.1975126,9.24538
1.6438252,8.169472,8.283796
1.486494,7.4100986,8.356793
1.6560702,8.532072,8.21319
0.15022172,1.4277489,4.4213753
9.527529,-1.0804121,5.3114343
-1.8543345,5.696383,1.9320072
12.049391,6.1026373,3.9583826
10.481251,10.126519,5.29555
13.429185,4.1613636,5.2930493
-1.1356045,9.505965,5.2760944
11.253648,0.48319513,4.7718925
-1.4776484,9.020706,4.2141256
-1.9853897,6.1610575,2.3317592
-1.9727627,6.5344777,2.951135
1.238622,2.5366695,7.5313797
2.224622,8.811566,8.266552
-1.6457506,4.938939,2.2492387
-1.7735122,7.0273886,4.4997716
13.400459,4.5514464,4.525252
3.0494733,7.9723935,8.641036
2.3084087,2.732542,8.591309
-1.0953933,3.9709113,5.100145
11.514836,0.67036355,7.5213428
1.9741058,6.1866293,8.881154
2.1687293,6.281116,8.972882
2.6108816,5.504513,9.158128
10.240988,-0.23971394,4.6009765
1.035521,5.9189477,8.250307
2.8483992,4.227434,9.274775
11.833309,4.4234095,3.2651992
12.442835,4.5216684,3.6584034
9.609511,-1.1263938,6.367543
2.1050766,6.3424864,8.92037
2.0136003,6.2717943,8.894503
-0.48522422,4.4088497,6.6800632
0.7632432,2.5702994,6.9989686
-1.9406381,6.7510657,3.2002552
-1.615118,7.961304,2.353709
11.075065,2.2038436,3.2188733
2.0389633,6.283391,8.909967
0.44998997,5.964643,7.776141
-1.2331005,7.03025,0.4507846
0.38492984,1.2144437,4.499933
-1.3687915,6.5629935,0.3191719
11.848458,6.379192,3.7540617
-1.5708712,8.845376,3.9353867
-1.5291771,8.941782,3.9473972
-1.5679033,8.842606,3.8189576
2.3810616,2.9557734,8.738712
11.682595,7.020052,3.9390209
12.155084,1.7625512,7.8281755
11.944489,6.102871,3.7530797
0.76333565,1.4469156,5.944727
11.797628,4.5819798,3.2668595
13.418748,4.454994,4.5662847
11.703424,7.2781262,4.35321
11.501537,7.044956,6.0802264
6.9260535,8.03885,8.022094
7.1565976,8.127771,7.924851
-1.9653229,6.232523,2.9695318
2.6195493,3.152679,8.900965
2.275843,5.273943,9.032992
2.371713,5.315179,9.085675
7.012871,8.065257,7.9904113
-1.8459507,5.9264293,1.6482627
11.4008465,8.101625,5.103134
11.688689,6.9989076,5.865487
9.796414,11.330471,5.9186363
9.833519,10.91425,5.90237
10.005609,11.157683,5.7145333
10.083643,10.661348,5.6616483
10.007463,11.1042185,5.7165184
-1.2546419,5.5344462,0.13531864
13.345146,4.563917,4.4777308
3.1460087,8.446708,8.492295
1.9120508,6.108099,8.845735
11.718244,4.239344,3.2076902
11.935809,6.7073684,5.65327
-1.3234868,7.2009907,0.69381344
9.341044,9.848079,6.5589747
0.4420248,1.2026957,4.6963344
5.8465047,7.4671774,8.548166
-1.9283402,6.3630323,3.2584498
11.374926,0.50477177,5.5728383
11.177266,0.286014,5.4267936
2.759367,5.5170226,9.1987705
2.7792864,5.5903177,9.191087
0.5329129,2.2239454,6.4547663
