pca_x,pca_y,pca_z
-0.7956428,-0.47338176,-0.259857
0.75785667,0.703469,0.0006591594
0.73121154,0.72637767,0.08513623
-0.6137739,0.685908,0.35966048
0.85052943,0.33880547,0.48970625
0.47143894,0.14455345,0.9008355
0.91591763,-0.12623596,0.4659159
0.7192039,-0.61373633,0.3889017
0.69939137,0.26793942,0.71354383
0.73737943,0.5592458,-0.44582486
-0.94627947,0.14750788,0.13617529
0.9257773,-0.23458521,-0.37505046
-0.9193966,0.21479687,0.22263676
-0.35520133,0.87051076,-0.31844857
0.45531395,-0.82522464,-0.34316823
-0.6542527,0.73026836,-0.06633105
-0.65423685,0.058271334,0.7320896
0.31715548,-0.34193778,0.9028554
0.66145307,0.79053235,0.052518245
0.9542144,0.116340645,0.39309788
0.8457967,-0.22253096,-0.52833015
0.5765966,0.26351437,-0.792384
-0.33145437,-0.7613468,-0.5073073
0.42639762,-0.6749043,-0.6038103
0.14942734,0.029724129,1.003799
0.22410476,0.18006545,0.97796506
0.5304949,-0.8474791,0.14689049
0.5217151,-0.77401143,-0.37431467
0.6272645,-0.15745085,-0.77854514
0.34479085,-0.8781447,-0.3273634
-0.29416147,0.7156188,-0.6176594
-0.30289307,0.78573805,-0.5233538
0.83691365,0.5847598,0.18373434
0.883385,-0.46550086,0.24570757
0.8532509,-0.54614264,0.15918976
0.6773534,-0.29030952,-0.6954921
-0.7398843,-0.6176963,0.055512026
-0.60681385,0.41370466,-0.64096415
-0.62592405,0.70612586,-0.26952878
0.5461399,-0.16607253,0.8522439
0.5053447,0.8419904,-0.28912744
0.6607792,0.482346,-0.61254686
0.39231583,-0.3803151,0.8589561
-0.59975004,-0.50633895,0.5827507
0.5021682,0.099505685,-0.8700733
0.742504,0.61545396,-0.35858563
-0.5848556,0.28374767,-0.7243037
0.21814725,0.1846077,0.9782988
0.1934304,0.25607803,0.96711195
0.6944609,-0.6634004,-0.32415923
-0.5694674,0.25915048,-0.74556196
-0.046448678,0.04573473,1.0063504
-0.13548099,0.05066294,0.99471706
0.48354268,0.835127,0.35829538
0.52830535,0.8291579,0.30838704
0.5804182,0.76061237,0.38756272
0.67535603,0.6665316,0.41302648
0.5064727,0.8927101,0.052741837
1.0306681,-0.09451304,-0.0033446131
0.9711671,-0.34096912,0.056905176
0.1063355,0.33879763,0.9525812
-0.5436738,0.2660576,-0.7632876
-0.52605003,-0.7984507,-0.15781024
-0.78853667,0.4853026,0.3181227
-0.536342,-0.8040226,-0.07653037
0.8447022,0.36293823,-0.46163556
0.19457829,0.5837666,-0.7940043
0.6215132,0.5005366,-0.6361942
0.809237,-0.60292226,0.17041124
-0.65109104,0.48307008,-0.541591
0.9434666,0.35944268,0.24666207
-0.20537835,0.076509506,0.9785224
-0.7201411,0.109041035,-0.6362369
