tsne_x,tsne_y,tsne_z
-2.5775158,3.3276901,9.533544
6.998711,6.374796,-4.947872
-2.6483238,-10.780481,3.5055103
0.10165999,3.7993722,-7.8464203
7.661625,5.7430477,-5.0527244
4.6330566,-7.224132,4.722419
4.2996235,-8.384496,3.4434276
-0.9550858,0.08439533,9.116222
5.8772078,-9.166249,-1.0979707
-12.610424,-3.1004148,0.84977585
-12.2264,0.66774607,-0.16103749
3.261732,-4.6767097,-7.20408
5.808635,-7.5482855,3.5452332
-7.3189945,10.468957,-1.8559885
10.524482,0.44462916,0.10684368
-0.49475425,4.146538,9.178629
-1.0895251,5.2108145,8.84986
-2.802803,3.4679432,9.448265
10.460425,-2.2573001,2.541531
8.678568,1.9016613,6.4646196
7.1917024,5.3875904,-6.3544455
6.9672236,6.18748,-5.468827
-10.053726,-2.606625,-4.5694685
-1.8233305,-10.77514,0.7118378
-8.8711,9.1834135,-0.3061818
-9.530741,3.8027701,3.946103
0.7977474,3.326294,9.038066
0.6914257,2.2887192,9.203484
9.3116255,-2.614496,5.1662793
5.2976346,8.115275,-1.9525195
2.9557736,8.04939,-3.4358938
8.0038,4.6004043,-6.3508835
9.36722,1.4916873,-6.3038344
3.0686512,6.6306067,-5.9416924
4.829969,-1.2099178,-8.7121
-4.068992,-3.0069835,-6.974912
-3.3181856,11.000153,1.2197247
3.5362766,-0.17821488,-8.789917
0.050419696,-2.5500274,8.422846
-0.9940436,10.2787075,1.7818202
-1.3909167,10.197857,2.406824
10.763112,1.9867051,3.0625083
6.704957,-7.594865,1.791744
2.9117851,8.834516,-1.4034134
8.764438,3.5161705,5.5023456
9.856421,-3.7766938,1.7816362
-0.19669218,2.8635483,-8.233136
2.9821506,-10.230654,-0.42628875
4.5004315,-6.4237666,-5.426341
6.2719398,7.627692,2.708465
-5.5025434,11.015731,-2.6670434
-0.7677107,0.07045521,9.119544
9.976763,-3.5626838,1.8143786
-0.52503407,-7.288354,-4.8209705
6.836159,-7.678274,0.98853356
-0.9909117,-3.783803,7.948736
10.209969,-1.5750269,-0.3556126
9.359249,1.5508292,-6.3073525
3.784249,8.839427,1.1430019
7.4020686,0.41736394,-8.14906
-2.367878,1.5315678,9.361723
10.196911,-1.4063737,-0.59166026
6.6289105,7.7561665,-0.27937979
5.3397837,4.367338,-7.7824454
7.202226,1.8741742,7.245692
2.919859,-4.806882,7.315091
-3.8305824,-1.6580436,7.801533
4.1367874,-5.7544537,-6.1018043
6.493651,-7.8590155,1.5371579
-5.7347836,-0.39566195,7.1868124
6.772868,2.2908216,7.24723
6.022205,2.1969213,7.500485
10.31804,0.48597497,-2.0297682
